# data/input-40.tsp Parameters[seed=67, initialTemperature=1000.0, coolingRate=0.9955, batchSize=4000, epsilon=1.0E-5, maxBatchAttempts=6000, totalAttempts=250000000, targetAcceptance=0.99, searchTemperature=true]
seed,cost
-464177477355751838,0.29503484609033614
-5057323913944229296,0.2989522104963222
-1807536976970045493,0.2834591347129365
-5066874955572122218,0.288239769443984
2791812837738304204,0.2715735648197552
-3105075395614850231,0.28010271870242315
-3060694045948577087,0.2886023954776412
-1460713788963912433,0.2742528823104099
-5926462348639063530,0.2791660519943778
-8003027928954219238,0.26721424716947134
-1441919528529879853,0.2903536859184013
3024592149501202997,0.3055763496496604
6583835180098048464,0.3046888758107946
8048143346251419714,0.2911224729399545
8627619637393931942,0.292939896062663
-8837582013256479722,0.2998485269304281
1749086243954440884,0.30367157925222504
7527412521381350960,0.2771098765187099
-4693301448653305822,0.2709130548602519
-6019406385549483946,0.27014485051501175
6592198974747290374,0.2892325757825046
2139429653426249315,0.28766982616071046
915314520154798648,0.2748815231461553
-9184864437543494767,0.30116613828481986
-4433027405960409742,0.28096020159035257
-8334559378134838238,0.3107923561951727
-1176369931089442965,0.29101623276386057
3663582680678805277,0.26829493981706204
-5653576812704623969,0.2777393187408806
978528151300549093,0.2987514108837356
-2759520716182318086,0.28894614666059953
-7372952164300480230,0.29677820141565103
-8963825639689100025,0.2789466780153577
4908035761241645342,0.2969288552946287
6293938190780976055,0.3044783297577767
-4299783227240143569,0.27932501372942714
-1500691511489932056,0.3032143984913739
7910476464357962364,0.29109172172443665
-2746751425361445682,0.2875346497602598
-2585872903773772855,0.3028344249657129
-359350182620016371,0.2690698398402378
1553633670952665686,0.29276742670973904
231878733243579822,0.27439222057952084
-3126217825456866430,0.31557153466047017
5492205309464286830,0.29435214234332036
-920440341805254770,0.30174589911512373
5853867009932752831,0.2950058032159735
3391725577578136187,0.2941914169208877
-9106704490649189658,0.2659073455106506
-6653699469494517164,0.29712000301783126
-2991272794429907572,0.2846119294645546
3522087337658102758,0.27015892932695573
5901497341919362003,0.27049624060405836
7503826421989851805,0.2862902600443475
732910566306079473,0.293686941086939
-5376618852602249368,0.29471371602507634
14080425780390293,0.30762757827569914
-352789778257760947,0.27650101266635546
4244620882153293646,0.28421187073210513
7440519144092671405,0.2945100489209305
-9157671053102183133,0.3106036134305627
-3143652080207443319,0.32040350242646853
-4434510601981954131,0.27526328572421366
6735463073895996257,0.2999056678671594
3603625898165404758,0.291182351520679
-2199811731149499188,0.311311831643407
4195155564521680948,0.304921076728492
-5373439475687126935,0.30903026282799445
-8634328815099931848,0.2797817202185928
2671837347711069199,0.292017832585041
-6930880847777222891,0.2985315492341098
-709158023050512669,0.2962573284555286
-7035037800070808283,0.3032028420381191
3483817511348938576,0.2872225524608945
5583993131062666186,0.3221714307359176
3764337400991898401,0.2918370627777521
-6002704920699079438,0.2820695819858133
7085365947983801064,0.30387073152083854
1963330758008342808,0.28767793166218686
5898687091745930137,0.30017867743995735
3484337835457707576,0.2915049273518792
3164937316135786911,0.30236893475820137
-2335912201272525478,0.27254205506957735
-3105860858994090593,0.2993923795694182
-7288269663741345023,0.2796577752744563
-747697624163208081,0.31244632530633765
3590978469982245310,0.2954158100886936
6986533358081230410,0.27547331091946187
-8021822636102042147,0.2998108115742715
-6204002692671868154,0.2884331578094057
-1027223566998672350,0.29029271799393896
-3569826205160193184,0.284938960292273
-7300000735794573162,0.29684678630202815
-947491269852815362,0.27823301607948164
-8399278215434402346,0.29673151547613097
2246303641220332103,0.28398907302017146
-6000703150772898741,0.2729014248896741
8463927025777327700,0.3031466322370775
2242480125500625473,0.2854211745763637
490917472086816883,0.30079834257684335
7468176499820758860,0.30966966005001745
3415240697581366656,0.2885923370881656
7052416114537628119,0.27191107891347127
-7964068134355160899,0.3157628605424704
-8932515429927755711,0.28319523803687147
4601227983633272494,0.295067062995111
3505036611356337037,0.2934527753327037
-8042492274426599518,0.3008363156889295
5767540078046145371,0.2909246945550541
-8430442207540452635,0.2748468396388705
-4864986052631655942,0.2736139549474095
3041464998988834927,0.31526376678443246
-5287646983704001602,0.30306782516744485
8141600606197343964,0.2921152325149998
7353217586985167010,0.2939524251250388
7118207816841611898,0.29485135991919037
-4754517635080714946,0.27217620029495376
3560359481671267517,0.30459093306155893
-7194332759553265698,0.2929557317099114
4269241360693173344,0.2788534471212768
5461601948572113677,0.31199483255292854
787509868012664722,0.3041975029391437
8205652330675003225,0.3041130003021678
1339656781393195795,0.28614111488385163
-353874009337588450,0.28759930264734296
6742518793468142540,0.3146824693237775
-6189028392384406958,0.2908783024075494
-7207870193114836162,0.2889568649970568
3614085118776495111,0.29374098004138616
-2811406305271021633,0.2667633289950101
3397429120883942544,0.2769851932075844
-8165776553892576630,0.2786088709705105
3056814502861071426,0.2894936116071542
-7518765858387821533,0.2902840104933358
4885994958422410438,0.29388477516415085
-4941207779344585004,0.2704407749534316
6874512147830807701,0.29819159301226567
-5534444937951902187,0.2720638026395773
12478144586560846,0.2966783657805043
-2635161141621958639,0.3038602408472937
4514300676557385748,0.3024888483952215
-302311134961683340,0.26861200141360636
6129104566252043377,0.2991981613931305
8783275985916422953,0.29667756684181457
-1841451578985219235,0.3134500556967245
-3783172798752926977,0.2807282276337096
7299302752953735556,0.2898790368439331
-4664900499555622622,0.29422833853338953
7332875888952900499,0.3049296015712222
2054257180772650701,0.288153518641134
7439207826858764334,0.2827438609769792
-2739809687245160026,0.2709130548602519
7332313718860857118,0.2940102188738027
991584780813402174,0.27504217019955834
3729093285822807861,0.3003598349748885
2849008740176417668,0.29937403731868356
3799193321481477576,0.294559841319062
-199439108108854893,0.30984857857600034
8965690949061268292,0.2768084716508043
108437532269337901,0.2742807526806921
-5391031700490835788,0.2750892501776553
-7165961199550156384,0.28770941523643595
-5196284228762143287,0.29225370149313434
-1378376109083790025,0.3073094943007468
-1602664274014774405,0.30385124742255165
8560146828612892262,0.2937829220324664
2893892468620090044,0.2827313117315201
-8254230310706175266,0.28774682844649135
-7850013921404790930,0.28609005304552304
561126842629409046,0.27233978811374915
-8147958886186444076,0.2732501194881979
-4643948570483966747,0.3029170335052897
-8488522263306039682,0.2980891924932343
-9032633617713561062,0.30265499545171604
-5019875810046934912,0.2713242159668329
1254959332152041813,0.27556920317049205
-4770380957871806128,0.2958060043964575
456981953830225366,0.29018924360599613
-2342413519497885008,0.29677955994764765
5825139484208560600,0.3023135499612111
3972409837863753792,0.28065596694379746
3241664805517752665,0.29876326600753694
1455275326633543762,0.30567306555037826
1618034535149094019,0.31416782121185566
-1718390001886010289,0.308351025900536
-70905382385077240,0.29657266756578515
3437148828478401013,0.2987509593887919
-1289425447858667100,0.2900752542317141
-4453727950189955739,0.283671023780454
-4050494483480450,0.28825437540424503
3779311857720951808,0.28010210584467243
3773403836963249657,0.2803689801547771
2811705829350513075,0.30764698349504466
-3867075664849390212,0.3118210877664553
4103978984005856627,0.28697594162686585
4453764999140207629,0.29646896401603784
5284117941264189996,0.27339078169700076
-4623457623310933126,0.2745427122311441
7702164957431529326,0.28253294558212305
-1903751077522441058,0.279633483150552
38531616898727687,0.2757771703171059
3078230420407130225,0.31447693306271024
1612953589948600926,0.29211174864113976
-3777074930065861847,0.30900902231662825
3014819211874735167,0.2754399904942691
-6445291834257042024,0.27606383162594594
7197248954024721115,0.3010764434120545
-34709211191961390,0.30298600219651356
3881842238107876883,0.30363159716413585
-6865077577034268654,0.28767397993216615
2154709082045390325,0.28791480118859286
6330892193658957021,0.2791934704328075
6119754857453826408,0.28952832129343054
8019310543465598342,0.3013870740490824
